scenario,method,seed,round,client_update_norm,cross_seed_mean_update_norm,absolute_deviation,relative_deviation_percent
High-straggler,Async-FedDRL,3407,1,0.1634049714252746,0.16364563210874866,0.00024066068347405878,0.14706208798419423
High-straggler,Async-FedDRL,4518,1,0.16407444941245233,0.16364563210874866,0.0004288173037036713,0.262040176800262
High-straggler,Async-FedDRL,5629,1,0.16364573322946413,0.16364563210874866,1.011207154677507e-07,6.179249281798868e-05
High-straggler,Async-FedDRL,6740,1,0.16269482748955438,0.16364563210874866,0.0009508046191942787,0.5810143582460138
High-straggler,Async-FedDRL,7851,1,0.1644081789869979,0.16364563210874866,0.0007625468782492262,0.465974476937145
High-straggler,Async-FedDRL,3407,2,0.16308292405160718,0.16350768083180064,0.00042475678019346375,0.2597778758971014
High-straggler,Async-FedDRL,4518,2,0.16415740960999625,0.16350768083180064,0.0006497287781956074,0.397368964497747
High-straggler,Async-FedDRL,5629,2,0.16318503141101612,0.16350768083180064,0.0003226494207845265,0.19732982520645867
High-straggler,Async-FedDRL,6740,2,0.1626965169610771,0.16350768083180064,0.0008111638707235524,0.49610138593916686
High-straggler,Async-FedDRL,7851,2,0.1644165221253065,0.16350768083180064,0.0009088412935058521,0.555840122544929
High-straggler,Async-FedDRL,3407,3,0.1632740884354558,0.1636536360667441,0.00037954763128830726,0.23192129451588445
High-straggler,Async-FedDRL,4518,3,0.16407196516473022,0.1636536360667441,0.0004183290979861143,0.25561857838313107
High-straggler,Async-FedDRL,5629,3,0.1636718468785821,0.1636536360667441,1.8210811838004215e-05,0.011127654890953454
High-straggler,Async-FedDRL,6740,3,0.16271300975593966,0.1636536360667441,0.0009406263108044377,0.5747665211794103
High-straggler,Async-FedDRL,7851,3,0.16453727009901273,0.1636536360667441,0.0008836340322686265,0.5399415824212102
High-straggler,Async-FedDRL,3407,4,0.16314613818272233,0.1639714959240949,0.0008253577413725732,0.5033544011543597
High-straggler,Async-FedDRL,4518,4,0.16441077658912617,0.1639714959240949,0.0004392806650312664,0.2679006266031851
High-straggler,Async-FedDRL,5629,4,0.16381437959150333,0.1639714959240949,0.0001571163325915781,0.09581929572949058
High-straggler,Async-FedDRL,6740,4,0.1640194607554052,0.1639714959240949,4.796483131028206e-05,0.02925193250202814
High-straggler,Async-FedDRL,7851,4,0.16446672450171754,0.1639714959240949,0.0004952285776226306,0.30202113777865397
High-straggler,Async-FedDRL,3407,5,0.16431627756159842,0.1641344059707602,0.0001818715908382118,0.11080650017438233
High-straggler,Async-FedDRL,4518,5,0.16436013647680275,0.1641344059707602,0.00022573050604254852,0.1375278417145284
High-straggler,Async-FedDRL,5629,5,0.1633609000964112,0.1641344059707602,0.0007735058743490175,0.47126369987704714
High-straggler,Async-FedDRL,6740,5,0.1641193081170612,0.1641344059707602,1.5097853698992081e-05,0.00919846976000979
High-straggler,Async-FedDRL,7851,5,0.16451540760192757,0.1641344059707602,0.0003810016311673603,0.23212782774821386
High-straggler,Async-FedDRL,3407,6,0.16429237645244238,0.16418525346242857,0.0001071229900138082,0.06524519574976431
High-straggler,Async-FedDRL,4518,6,0.1643289650359176,0.16418525346242857,0.00014371157348902486,0.08753013468527561
High-straggler,Async-FedDRL,5629,6,0.16367315265033716,0.16418525346242857,0.0005121008120914095,0.31190426746126526
High-straggler,Async-FedDRL,6740,6,0.16406104197313562,0.16418525346242857,0.00012421148929295245,0.07565325549859839
High-straggler,Async-FedDRL,7851,6,0.1645707312003101,0.16418525346242857,0.00038547773788152884,0.2347821925248237
High-straggler,Async-FedDRL,3407,7,0.16400205570747098,0.16414795396623547,0.00014589825876448748,0.08888216711765906
High-straggler,Async-FedDRL,4518,7,0.16455256550470126,0.16414795396623547,0.0004046115384657989,0.2464919779317053
High-straggler,Async-FedDRL,5629,7,0.16352891034501588,0.16414795396623547,0.0006190436212195893,0.3771253958772608
High-straggler,Async-FedDRL,6740,7,0.16396812683455142,0.16414795396623547,0.00017982713168404607,0.10955185693087331
High-straggler,Async-FedDRL,7851,7,0.16468811143943785,0.16414795396623547,0.0005401574732023795,0.3290674419941217
High-straggler,Async-FedDRL,3407,8,0.16373011465039386,0.16407330028521286,0.0003431856348189988,0.209166046043098
High-straggler,Async-FedDRL,4518,8,0.16440743083190212,0.16407330028521286,0.00033413054668926523,0.20364711754346226
High-straggler,Async-FedDRL,5629,8,0.1636025849970883,0.16407330028521286,0.0004707152881245624,0.28689328934464403
High-straggler,Async-FedDRL,6740,8,0.1641450107200688,0.16407330028521286,7.171043485593165e-05,0.04370634023407559
High-straggler,Async-FedDRL,7851,8,0.16448136022661122,0.16407330028521286,0.0004080599413983643,0.2487058776102042
High-straggler,Async-FedDRL,3407,9,0.16398369952638928,0.16410039678966024,0.00011669726327095953,0.07111333400402386
High-straggler,Async-FedDRL,4518,9,0.1642609007707463,0.16410039678966024,0.00016050398108605202,0.09780840523608361
High-straggler,Async-FedDRL,5629,9,0.16371868542888726,0.16410039678966024,0.00038171136077297385,0.23260843254525573
High-straggler,Async-FedDRL,6740,9,0.16415985149294487,0.16410039678966024,5.945470328463931e-05,0.036230688315060475
High-straggler,Async-FedDRL,7851,9,0.16437884672933353,0.16410039678966024,0.00027844993967329756,0.16968267299816936
High-straggler,Async-FedDRL,3407,10,0.16419178499449688,0.1642015117233515,9.726728854630995e-06,0.005923653657354077
High-straggler,Async-FedDRL,4518,10,0.16415477508066148,0.1642015117233515,4.673664269003175e-05,0.028462979542340724
High-straggler,Async-FedDRL,5629,10,0.16371295127962138,0.1642015117233515,0.000488560443730135,0.29753711680393474
High-straggler,Async-FedDRL,6740,10,0.1643180423756333,0.1642015117233515,0.00011653065228178772,0.07096807517711519
