method,seed,phase,round_start,round_end,phase_mean
Async-FedDRL,3407,1,1,100,0.0008132169807883542
Async-FedDRL,3407,2,101,200,0.004211875983300388
Async-FedDRL,3407,3,201,300,0.005515849397816965
Async-FedDRL,3407,4,301,400,0.0053200329500750175
Async-FedDRL,4518,1,1,100,0.0009649662617544124
Async-FedDRL,4518,2,101,200,0.00422030244226071
Async-FedDRL,4518,3,201,300,0.005104533604313474
Async-FedDRL,4518,4,301,400,0.004859133158878649
Async-FedDRL,5629,1,1,100,0.0007814384141382789
Async-FedDRL,5629,2,101,200,0.0036198560220946094
Async-FedDRL,5629,3,201,300,0.004595516206970387
Async-FedDRL,5629,4,301,400,0.0049652057532043724
Async-FedDRL,6740,1,1,100,0.0011444972815336314
Async-FedDRL,6740,2,101,200,0.004180976979429488
Async-FedDRL,6740,3,201,300,0.004768798120194674
Async-FedDRL,6740,4,301,400,0.0053760485062646236
Async-FedDRL,7851,1,1,100,0.0009478611619606455
Async-FedDRL,7851,2,101,200,0.0044026023715655355
Async-FedDRL,7851,3,201,300,0.0054827982235374296
Async-FedDRL,7851,4,301,400,0.005370708447261677
JIT-APFRL,3407,1,1,100,0.0004331331571185615
JIT-APFRL,3407,2,101,200,0.003102114865514295
JIT-APFRL,3407,3,201,300,0.005219557969872199
JIT-APFRL,3407,4,301,400,0.005515531195374024
JIT-APFRL,4518,1,1,100,0.00047936815652673204
JIT-APFRL,4518,2,101,200,0.0030993185344661924
JIT-APFRL,4518,3,201,300,0.004854582936816655
JIT-APFRL,4518,4,301,400,0.004894516928726148
JIT-APFRL,5629,1,1,100,0.0003742080927292015
JIT-APFRL,5629,2,101,200,0.0029765655927606076
JIT-APFRL,5629,3,201,300,0.004615452814289938
JIT-APFRL,5629,4,301,400,0.005058302666701593
JIT-APFRL,6740,1,1,100,0.0005563437221731533
JIT-APFRL,6740,2,101,200,0.00347662608236908
JIT-APFRL,6740,3,201,300,0.004922748584849216
JIT-APFRL,6740,4,301,400,0.005435265167457373
JIT-APFRL,7851,1,1,100,0.0005371054813638523
JIT-APFRL,7851,2,101,200,0.0032608455998225736
JIT-APFRL,7851,3,201,300,0.005384860482160434
JIT-APFRL,7851,4,301,400,0.0053624323904359695
