method,seed,phase,round_start,round_end,phase_mean
Async-FedDRL,3407,1,1,100,0.2719655837721944
Async-FedDRL,3407,2,101,200,0.29919922312798825
Async-FedDRL,3407,3,201,300,0.3121242099855442
Async-FedDRL,3407,4,301,400,0.32116341036423707
Async-FedDRL,4518,1,1,100,0.26867275486865794
Async-FedDRL,4518,2,101,200,0.30581345478871147
Async-FedDRL,4518,3,201,300,0.3231276352842636
Async-FedDRL,4518,4,301,400,0.3257331039554907
Async-FedDRL,5629,1,1,100,0.2791035584851611
Async-FedDRL,5629,2,101,200,0.31498226169164584
Async-FedDRL,5629,3,201,300,0.3275411992593141
Async-FedDRL,5629,4,301,400,0.3279605900378442
Async-FedDRL,6740,1,1,100,0.2805430533028785
Async-FedDRL,6740,2,101,200,0.3141573765871036
Async-FedDRL,6740,3,201,300,0.3253288744435527
Async-FedDRL,6740,4,301,400,0.3263570612012168
Async-FedDRL,7851,1,1,100,0.2755286912496508
Async-FedDRL,7851,2,101,200,0.3106761314273108
Async-FedDRL,7851,3,201,300,0.32202609634540946
Async-FedDRL,7851,4,301,400,0.3259731444454491
JIT-APFRL,3407,1,1,100,0.26815469063112185
JIT-APFRL,3407,2,101,200,0.29077726883518334
JIT-APFRL,3407,3,201,300,0.3068595456115642
JIT-APFRL,3407,4,301,400,0.31720583158085564
JIT-APFRL,4518,1,1,100,0.2641384481323609
JIT-APFRL,4518,2,101,200,0.2956944939616141
JIT-APFRL,4518,3,201,300,0.3202370396220369
JIT-APFRL,4518,4,301,400,0.3251021239811378
JIT-APFRL,5629,1,1,100,0.2740535063780366
JIT-APFRL,5629,2,101,200,0.30536728961073817
JIT-APFRL,5629,3,201,300,0.32344189163468745
JIT-APFRL,5629,4,301,400,0.32704535603564555
JIT-APFRL,6740,1,1,100,0.2756981769497947
JIT-APFRL,6740,2,101,200,0.30438216959966596
JIT-APFRL,6740,3,201,300,0.3204320773236573
JIT-APFRL,6740,4,301,400,0.32379619505667057
JIT-APFRL,7851,1,1,100,0.2704261962435757
JIT-APFRL,7851,2,101,200,0.3024847614261079
JIT-APFRL,7851,3,201,300,0.32005525357322334
JIT-APFRL,7851,4,301,400,0.3255127096493348
