method,seed,terminal_mean_jit_ms,round_start,round_end
Async-FedDRL,3407,11.3459560544803,351,400
Async-FedDRL,4518,11.074767693645,351,400
Async-FedDRL,5629,10.1305688694082,351,400
Async-FedDRL,6740,11.1280678511494,351,400
Async-FedDRL,7851,10.5167984341245,351,400
DP-FedRL,3407,12.5789719191749,351,400
DP-FedRL,4518,11.8303308254473,351,400
DP-FedRL,5629,10.8558325806194,351,400
DP-FedRL,6740,11.2649622158533,351,400
DP-FedRL,7851,11.0189645169007,351,400
FedPPO,3407,12.8162770112049,351,400
FedPPO,4518,12.0742764315922,351,400
FedPPO,5629,11.0673709642009,351,400
FedPPO,6740,12.1401336435815,351,400
FedPPO,7851,11.4807009008376,351,400
JIT-APFRL,3407,12.0651177305876,351,400
JIT-APFRL,4518,11.5075476466082,351,400
JIT-APFRL,5629,10.5615424004151,351,400
JIT-APFRL,6740,11.4143908679563,351,400
JIT-APFRL,7851,10.8057782159662,351,400
