method,seed,terminal_p95_jit_ms,round_start,round_end
Async-FedDRL,3407,77.9979775332552,351,400
Async-FedDRL,4518,74.8502333265211,351,400
Async-FedDRL,5629,68.5810906690857,351,400
Async-FedDRL,6740,77.4452299002222,351,400
Async-FedDRL,7851,72.3679368772648,351,400
DP-FedRL,3407,84.001613195598,351,400
DP-FedRL,4518,81.1660666136158,351,400
DP-FedRL,5629,73.4656850315497,351,400
DP-FedRL,6740,78.1766629714548,351,400
DP-FedRL,7851,74.5076499092077,351,400
FedPPO,3407,86.1164941233048,351,400
FedPPO,4518,82.4399087307186,351,400
FedPPO,5629,74.7818951015522,351,400
FedPPO,6740,83.9703989513739,351,400
FedPPO,7851,78.058757120576,351,400
JIT-APFRL,3407,82.9983282305939,351,400
JIT-APFRL,4518,76.9783110472759,351,400
JIT-APFRL,5629,71.5672808607715,351,400
JIT-APFRL,6740,79.0699946590643,351,400
JIT-APFRL,7851,73.9504449905123,351,400
