method,seed,terminal_deadline_miss_rate,terminal_deadline_miss_percent,round_start,round_end
Async-FedDRL,3407,0.17101,17.101,351,400
Async-FedDRL,4518,0.16379,16.379,351,400
Async-FedDRL,5629,0.159925,15.9925,351,400
Async-FedDRL,6740,0.165275,16.5275,351,400
Async-FedDRL,7851,0.160415,16.0415,351,400
DP-FedRL,3407,0.180645,18.0645,351,400
DP-FedRL,4518,0.170175,17.0175,351,400
DP-FedRL,5629,0.166545,16.6545,351,400
DP-FedRL,6740,0.165585,16.5585,351,400
DP-FedRL,7851,0.164345,16.4345,351,400
FedPPO,3407,0.183255,18.3255,351,400
FedPPO,4518,0.1723,17.23,351,400
FedPPO,5629,0.168595,16.8595,351,400
FedPPO,6740,0.17379,17.379,351,400
FedPPO,7851,0.16915,16.915,351,400
JIT-APFRL,3407,0.17719,17.719,351,400
JIT-APFRL,4518,0.16753,16.753,351,400
JIT-APFRL,5629,0.16356,16.356,351,400
JIT-APFRL,6740,0.16786,16.786,351,400
JIT-APFRL,7851,0.163465,16.3465,351,400
