setting_id,coefficient,multiplier,seed,is_common_base,terminal_mean_q_u
alpha_0p50x,alpha,0.5,3407,FALSE,0.314082485418476
alpha_0p50x,alpha,0.5,4518,FALSE,0.314800461572341
alpha_0p50x,alpha,0.5,5629,FALSE,0.316875639734099
alpha_1p50x,alpha,1.5,3407,FALSE,0.293524631051193
alpha_1p50x,alpha,1.5,4518,FALSE,0.29503314686128
alpha_1p50x,alpha,1.5,5629,FALSE,0.298755913593195
base,common_base,1,3407,TRUE,0.303455024388763
base,common_base,1,4518,TRUE,0.304661948410678
base,common_base,1,5629,TRUE,0.30732463952436
beta_0p50x,beta,0.5,3407,FALSE,0.432346613827117
beta_0p50x,beta,0.5,4518,FALSE,0.433577939840806
beta_0p50x,beta,0.5,5629,FALSE,0.437078105469437
beta_1p50x,beta,1.5,3407,FALSE,0.233796766636625
beta_1p50x,beta,1.5,4518,FALSE,0.234879840542049
beta_1p50x,beta,1.5,5629,FALSE,0.237280309531422
chi_0p50x,chi,0.5,3407,FALSE,0.309322833864748
chi_0p50x,chi,0.5,4518,FALSE,0.310542944718108
chi_0p50x,chi,0.5,5629,FALSE,0.313252232497817
chi_1p50x,chi,1.5,3407,FALSE,0.297618840486077
chi_1p50x,chi,1.5,4518,FALSE,0.298924932909866
chi_1p50x,chi,1.5,5629,FALSE,0.301617765809208
