setting_id,coefficient,multiplier,seed,component,component_mean,component_sd,component_median,component_p95,denominator_mean
alpha_0p50x,alpha,0.5,3407,weighted_jit,0.22123370529716763,0.20035220486533323,0.17385342350396657,0.6256558990001796,3.330687708784316
alpha_0p50x,alpha,0.5,3407,weighted_staleness,1.98725,0.31666223625731554,2.0,2.5,3.330687708784316
alpha_0p50x,alpha,0.5,3407,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.330687708784316
alpha_0p50x,alpha,0.5,4518,weighted_jit,0.21867197624319393,0.21704661445039505,0.1538968395825031,0.6853883384455751,3.327500979730342
alpha_0p50x,alpha,0.5,4518,weighted_staleness,1.986625,0.32009204416791187,2.0,2.5,3.327500979730342
alpha_0p50x,alpha,0.5,4518,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.327500979730342
alpha_0p50x,alpha,0.5,5629,weighted_jit,0.18721587235355172,0.19018010609226513,0.12979468789697773,0.5822760365783503,3.2824198758407
alpha_0p50x,alpha,0.5,5629,weighted_staleness,1.973,0.3205797036905211,2.0,2.45,3.2824198758407
alpha_0p50x,alpha,0.5,5629,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.2824198758407
base,common_base,1.0,3407,weighted_jit,0.455100598152262,0.4076071645049404,0.35996095423079033,1.2810473892276724,3.56455460163941
base,common_base,1.0,3407,weighted_staleness,1.98725,0.31666223625731554,2.0,2.5,3.56455460163941
base,common_base,1.0,3407,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.56455460163941
base,common_base,1.0,4518,weighted_jit,0.4571749426409176,0.4433306960957816,0.32966563416060424,1.3944778037314183,3.566003946128066
base,common_base,1.0,4518,weighted_staleness,1.986625,0.32009204416791187,2.0,2.5,3.566003946128066
base,common_base,1.0,4518,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.566003946128066
base,common_base,1.0,5629,weighted_jit,0.38374953946471574,0.3876296682928321,0.2663498038829605,1.1911451078855002,3.478953542951864
base,common_base,1.0,5629,weighted_staleness,1.973,0.3205797036905211,2.0,2.45,3.478953542951864
base,common_base,1.0,5629,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.478953542951864
alpha_1p50x,alpha,1.5,3407,weighted_jit,0.7016764063913861,0.6200924222292841,0.5572952887782617,1.9564313351305338,3.811130409878534
alpha_1p50x,alpha,1.5,3407,weighted_staleness,1.98725,0.31666223625731554,2.0,2.5,3.811130409878534
alpha_1p50x,alpha,1.5,3407,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.811130409878534
alpha_1p50x,alpha,1.5,4518,weighted_jit,0.7139594990670975,0.6763652417582594,0.5273021766832529,2.1236567512214486,3.822788502554246
alpha_1p50x,alpha,1.5,4518,weighted_staleness,1.986625,0.32009204416791187,2.0,2.5,3.822788502554246
alpha_1p50x,alpha,1.5,4518,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.822788502554246
alpha_1p50x,alpha,1.5,5629,weighted_jit,0.5900003308363302,0.5912505083813897,0.41107795602765906,1.8309887595563785,3.6852043343234784
alpha_1p50x,alpha,1.5,5629,weighted_staleness,1.973,0.3205797036905211,2.0,2.45,3.6852043343234784
alpha_1p50x,alpha,1.5,5629,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,3.6852043343234784
beta_0p50x,beta,0.5,3407,weighted_jit,0.4194508635455469,0.39225323774680576,0.3198179557954218,1.215107923215345,2.535279867032695
beta_0p50x,beta,0.5,3407,weighted_staleness,0.993625,0.15833111812865777,1.0,1.25,2.535279867032695
beta_0p50x,beta,0.5,3407,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,2.535279867032695
beta_0p50x,beta,0.5,4518,weighted_jit,0.4163273383151031,0.4236587489776378,0.28499427596106985,1.3352447128746365,2.5318438418022513
beta_0p50x,beta,0.5,4518,weighted_staleness,0.9933125,0.16004602208395594,1.0,1.25,2.5318438418022513
beta_0p50x,beta,0.5,4518,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,2.5318438418022513
beta_0p50x,beta,0.5,5629,weighted_jit,0.3581510277683252,0.3704304148983419,0.24430828468453974,1.1431818629936812,2.4668550312554736
beta_0p50x,beta,0.5,5629,weighted_staleness,0.9865,0.16028985184526054,1.0,1.225,2.4668550312554736
beta_0p50x,beta,0.5,5629,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,2.4668550312554736
beta_1p50x,beta,1.5,3407,weighted_jit,0.4906126647772928,0.4203535481280449,0.3994233680826926,1.3321348352015976,4.593691668264441
beta_1p50x,beta,1.5,3407,weighted_staleness,2.980875,0.47499335438597334,3.0,3.75,4.593691668264441
beta_1p50x,beta,1.5,3407,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,4.593691668264441
beta_1p50x,beta,1.5,4518,weighted_jit,0.4969447414436919,0.4595533250361555,0.36995386276058606,1.442014567647524,4.59908624493084
beta_1p50x,beta,1.5,4518,weighted_staleness,2.9799375,0.48013806625186783,3.0,3.75,4.59908624493084
beta_1p50x,beta,1.5,4518,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,4.59908624493084
beta_1p50x,beta,1.5,5629,weighted_jit,0.4110406708843866,0.4022120125147369,0.2912848175541605,1.24630966627917,4.492744674371535
beta_1p50x,beta,1.5,5629,weighted_staleness,2.9595,0.4808695555357816,3.0,3.6750000000000003,4.492744674371535
beta_1p50x,beta,1.5,5629,weighted_concentration,0.1222040034871481,2.750460958824288e-17,0.1222040034871481,0.12220400348714813,4.492744674371535
chi_0p50x,chi,0.5,3407,weighted_jit,0.453302295212924,0.4067496636899927,0.3570453605115256,1.2794820693343871,3.5016542969564983
chi_0p50x,chi,0.5,3407,weighted_staleness,1.98725,0.31666223625731554,2.0,2.5,3.5016542969564983
chi_0p50x,chi,0.5,3407,weighted_concentration,0.06110200174357405,1.375230479412144e-17,0.06110200174357405,0.061102001743574066,3.5016542969564983
chi_0p50x,chi,0.5,4518,weighted_jit,0.4521812594422877,0.4421758531077576,0.32440287088808817,1.3917288708250204,3.499908261185862
chi_0p50x,chi,0.5,4518,weighted_staleness,1.986625,0.32009204416791187,2.0,2.5,3.499908261185862
chi_0p50x,chi,0.5,4518,weighted_concentration,0.06110200174357405,1.375230479412144e-17,0.06110200174357405,0.061102001743574066,3.499908261185862
chi_0p50x,chi,0.5,5629,weighted_jit,0.3823542240165257,0.3866462160399175,0.2657401538171128,1.186143424878179,3.4164562257600997
chi_0p50x,chi,0.5,5629,weighted_staleness,1.973,0.3205797036905211,2.0,2.45,3.4164562257600997
chi_0p50x,chi,0.5,5629,weighted_concentration,0.06110200174357405,1.375230479412144e-17,0.06110200174357405,0.061102001743574066,3.4164562257600997
chi_1p50x,chi,1.5,3407,weighted_jit,0.4584377930445478,0.4081410217751236,0.36381435363054904,1.2839139546120903,3.62899379827527
chi_1p50x,chi,1.5,3407,weighted_staleness,1.98725,0.31666223625731554,2.0,2.5,3.62899379827527
chi_1p50x,chi,1.5,3407,weighted_concentration,0.18330600523072216,4.934247444827378e-17,0.18330600523072216,0.1833060052307222,3.62899379827527
chi_1p50x,chi,1.5,4518,weighted_jit,0.45759441372296833,0.4443808995186139,0.3303117374926566,1.3958903793565283,3.6275254189536903
chi_1p50x,chi,1.5,4518,weighted_staleness,1.986625,0.32009204416791187,2.0,2.5,3.6275254189536903
chi_1p50x,chi,1.5,4518,weighted_concentration,0.18330600523072216,4.934247444827378e-17,0.18330600523072216,0.1833060052307222,3.6275254189536903
chi_1p50x,chi,1.5,5629,weighted_jit,0.3853627160068437,0.38884509032626224,0.2674426060981434,1.193686172381217,3.5416687212375657
chi_1p50x,chi,1.5,5629,weighted_staleness,1.973,0.3205797036905211,2.0,2.45,3.5416687212375657
chi_1p50x,chi,1.5,5629,weighted_concentration,0.18330600523072216,4.934247444827378e-17,0.18330600523072216,0.1833060052307222,3.5416687212375657
