method,seed,target_nodes,reference_nodes,reward_target,reward_reference,reward_delta,reward_relative_change_percent
FedPPO,3407,30,10,5.18213592531901,5.1174913210236,0.0646446042954025,1.26320887013194
FedPPO,3407,80,10,5.17627119362317,5.1174913210236,0.0587798725995654,1.14860717707692
FedPPO,4518,30,10,5.14574640251401,5.19830593245964,-0.0525595299456274,-1.01108958627139
FedPPO,4518,80,10,5.16694230096514,5.19830593245964,-0.0313636314944956,-0.60334331803468
FedPPO,5629,30,10,5.15022442168093,5.27112837045571,-0.120903948774782,-2.29370146726912
FedPPO,5629,80,10,5.13940601045206,5.27112837045571,-0.13172236000365,-2.49894046864698
DP-FedRL,3407,30,10,5.18427472524135,5.12400014950016,0.060274575741186,1.17631877405518
DP-FedRL,3407,80,10,5.17760389964825,5.12400014950016,0.0536037501480866,1.04613092474862
DP-FedRL,4518,30,10,5.14366644480645,5.2041564475708,-0.0604900027643502,-1.16234020582886
DP-FedRL,4518,80,10,5.16761500069613,5.2041564475708,-0.036541446874665,-0.702158884783755
DP-FedRL,5629,30,10,5.16417567152223,5.27430889718031,-0.110133225658079,-2.08810723461717
DP-FedRL,5629,80,10,5.14079611102228,5.27430889718031,-0.133512786158034,-2.53137972691382
Async-FedDRL,3407,30,10,5.18797052050662,5.1223666146436,0.0656039058630222,1.28073429331428
Async-FedDRL,3407,80,10,5.18711904047009,5.1223666146436,0.06475242582649,1.2641115073915
Async-FedDRL,4518,30,10,5.18042337808375,5.18293248348956,-0.00250910540580129,-0.0484109220753724
Async-FedDRL,4518,80,10,5.18792529411017,5.18293248348956,0.00499281062061829,0.0963317704122733
Async-FedDRL,5629,30,10,5.18425114398153,5.21693726210602,-0.0326861181244906,-0.626538455079976
Async-FedDRL,5629,80,10,5.1714006809576,5.21693726210602,-0.045536581148415,-0.872860432483568
JIT-APFRL,3407,30,10,5.17542431627827,5.08094240977999,0.0944819064982712,1.85953507987827
JIT-APFRL,3407,80,10,5.18485995030322,5.08094240977999,0.103917540523227,2.04524145605749
JIT-APFRL,4518,30,10,5.17891651415533,5.16527483808452,0.0136416760708054,0.264103585935501
JIT-APFRL,4518,80,10,5.18188756648389,5.16527483808452,0.016612728399366,0.321623319573961
JIT-APFRL,5629,30,10,5.17673439793492,5.18117124774173,-0.00443684980680903,-0.0856341084796778
JIT-APFRL,5629,80,10,5.17132468618895,5.18117124774173,-0.0098465615527763,-0.190045089844657
