method,seed,target_nodes,reference_nodes,p95_target,p95_reference,p95_delta,p95_relative_change_percent
FedPPO,3407,30,10,75.3602090069147,86.0728405105258,-10.712631503611,-12.4460067078895
FedPPO,3407,80,10,79.4682508272566,86.0728405105258,-6.60458968326921,-7.6732563304467
FedPPO,4518,30,10,83.737024260751,67.7208032806454,16.0162209801056,23.6503706456817
FedPPO,4518,80,10,81.2363963326518,67.7208032806454,13.5155930520064,19.9578156153814
FedPPO,5629,30,10,81.1732946215336,49.3757304860366,31.797564135497,64.3991771311399
FedPPO,5629,80,10,86.5008542961767,49.3757304860366,37.1251238101401,75.1890117770288
DP-FedRL,3407,30,10,74.7887650913778,82.5248052893296,-7.73604019795184,-9.37419987945382
DP-FedRL,3407,80,10,78.7050795117825,82.5248052893296,-3.81972577754708,-4.62857896381001
DP-FedRL,4518,30,10,83.9787386891595,67.0974017170652,16.8813369720943,25.1594496062294
DP-FedRL,4518,80,10,81.1763406121911,67.0974017170652,14.0789388951259,20.9828376879535
DP-FedRL,5629,30,10,76.8998224159929,48.5275831104986,28.3722393054943,58.4662113521912
DP-FedRL,5629,80,10,86.1026408336602,48.5275831104986,37.5750577231616,77.4303093512863
Async-FedDRL,3407,30,10,73.929535010071,84.0630230783617,-10.1334880682907,-12.0546319858667
Async-FedDRL,3407,80,10,76.3313794430988,84.0630230783617,-7.7316436352629,-9.19743705630908
Async-FedDRL,4518,30,10,74.1220146667544,72.5068179799845,1.61519668676988,2.22764800851659
Async-FedDRL,4518,80,10,75.273941502727,72.5068179799845,2.76712352274244,3.81636320532822
Async-FedDRL,5629,30,10,70.9457107176335,67.7575607587772,3.18814995885629,4.70523130283036
Async-FedDRL,5629,80,10,77.855213820762,67.7575607587772,10.0976530619849,14.9026218608037
JIT-APFRL,3407,30,10,76.8016572282555,92.8962480380342,-16.0945908097786,-17.3253399891771
JIT-APFRL,3407,80,10,76.7477976194068,92.8962480380342,-16.1484504186273,-17.3833182283269
JIT-APFRL,4518,30,10,74.2136961971883,76.1385656225785,-1.92486942539027,-2.52811359086
JIT-APFRL,4518,80,10,76.5899305293913,76.1385656225785,0.451364906812714,0.592820344226269
JIT-APFRL,5629,30,10,72.9967075794757,76.2433481489306,-3.24664056945488,-4.25826075097467
JIT-APFRL,5629,80,10,77.8651120249697,76.2433481489306,1.6217638760391,2.12708900568114
