method,seed,target_nodes,reference_nodes,miss_target,miss_reference,miss_delta,miss_relative_change_percent,miss_delta_percentage_points
FedPPO,3407,30,10,0.163716666666667,0.18272,-0.0190033333333333,-10.4002481027437,-1.90033333333333
FedPPO,3407,80,10,0.16833375,0.18272,-0.01438625,-7.87338550788091,-1.438625
FedPPO,4518,30,10,0.174486666666667,0.15565,0.0188366666666667,12.1019381090053,1.88366666666667
FedPPO,4518,80,10,0.1709775,0.15565,0.0153275,9.84741407002893,1.53275
FedPPO,5629,30,10,0.172326666666667,0.12845,0.0438766666666666,34.1585571558323,4.38766666666666
FedPPO,5629,80,10,0.17783875,0.12845,0.04938875,38.449785908914,4.938875
DP-FedRL,3407,30,10,0.162693333333333,0.17837,-0.0156766666666667,-8.78884715292183,-1.56766666666667
DP-FedRL,3407,80,10,0.16758375,0.17837,-0.01078625,-6.0471211526602,-1.078625
DP-FedRL,4518,30,10,0.175243333333333,0.15481,0.0204333333333333,13.198975087742,2.04333333333333
DP-FedRL,4518,80,10,0.17063625,0.15481,0.01582625,10.2230153090886,1.582625
DP-FedRL,5629,30,10,0.16693,0.12712,0.03981,31.3168659534298,3.981
DP-FedRL,5629,80,10,0.17721875,0.12712,0.05009875,39.4105962869729,5.009875
Async-FedDRL,3407,30,10,0.161476666666667,0.17913,-0.0176533333333334,-9.85504010123003,-1.76533333333334
Async-FedDRL,3407,80,10,0.16362625,0.17913,-0.01550375,-8.65502707530844,-1.550375
Async-FedDRL,4518,30,10,0.16082,0.16314,-0.00231999999999999,-1.42209145519185,-0.231999999999999
Async-FedDRL,4518,80,10,0.1634,0.16314,0.000259999999999982,0.159372318254249,0.0259999999999982
Async-FedDRL,5629,30,10,0.158393333333333,0.15426,0.00413333333333332,2.67945892216603,0.413333333333332
Async-FedDRL,5629,80,10,0.16612,0.15426,0.01186,7.68831842344093,1.186
JIT-APFRL,3407,30,10,0.16535,0.19287,-0.02752,-14.268678384404,-2.752
JIT-APFRL,3407,80,10,0.16424375,0.19287,-0.02862625,-14.8422512573236,-2.862625
JIT-APFRL,4518,30,10,0.161326666666667,0.16918,-0.00785333333333335,-4.64199866020413,-0.785333333333335
JIT-APFRL,4518,80,10,0.16558125,0.16918,-0.00359874999999998,-2.12717224258186,-0.359874999999998
JIT-APFRL,5629,30,10,0.16122,0.16627,-0.00505,-3.0372286040777,-0.505
JIT-APFRL,5629,80,10,0.16612,0.16627,-0.000149999999999983,-0.0902147110121991,-0.0149999999999983
